# g ma[MeV] Ea[MeV] dNdEdtKSVZ[adimensional]
2.e-6 1.e0 4.705e1 1.04115e34
2.e-6 1.e0 4.805e1 9.67101e33
2.e-6 1.e0 4.905e1 8.97728e33
2.e-6 1.e0 5.005e1 8.32535e33
2.e-6 1.e0 5.105e1 7.70698e33
2.e-6 1.e0 5.205e1 7.1498e33
2.e-6 1.e0 5.305e1 6.63906e33
2.e-6 1.e0 5.405e1 6.15941e33
2.e-6 1.e0 5.505e1 5.709e33
2.e-6 1.e0 5.605e1 5.28566e33
2.e-6 1.e0 5.705e1 4.9036e33
2.e-6 1.e0 5.805e1 4.54941e33
2.e-6 1.e0 5.905e1 4.21974e33
2.e-6 1.e0 6.005e1 3.91026e33
2.e-6 1.e0 6.105e1 3.62079e33
2.e-6 1.e0 6.205e1 3.35918e33
2.e-6 1.e0 6.305e1 3.11754e33
2.e-6 1.e0 6.405e1 2.89285e33
2.e-6 1.e0 6.505e1 2.68134e33
2.e-6 1.e0 6.605e1 2.484e33
2.e-6 1.e0 6.705e1 2.30637e33
2.e-6 1.e0 6.805e1 2.14216e33
2.e-6 1.e0 6.905e1 1.98904e33
2.e-6 1.e0 7.005e1 1.84539e33
2.e-6 1.e0 7.105e1 1.71141e33
2.e-6 1.e0 7.205e1 1.59084e33
2.e-6 1.e0 7.305e1 1.47989e33
2.e-6 1.e0 7.405e1 1.37702e33
2.e-6 1.e0 7.505e1 1.27941e33
2.e-6 1.e0 7.605e1 1.18909e33
2.e-6 1.e0 7.705e1 1.10714e33
2.e-6 1.e0 7.805e1 1.03094e33
2.e-6 1.e0 7.905e1 9.59792e32
2.e-6 1.e0 8.005e1 8.93244e32
2.e-6 1.e0 8.105e1 8.31318e32
2.e-6 1.e0 8.205e1 7.74663e32
2.e-6 1.e0 8.305e1 7.22093e32
2.e-6 1.e0 8.405e1 6.73037e32
2.e-6 1.e0 8.505e1 6.26878e32
2.e-6 1.e0 8.605e1 5.83953e32
2.e-6 1.e0 8.705e1 5.45145e32
2.e-6 1.e0 8.805e1 5.09293e32
2.e-6 1.e0 8.905e1 4.75434e32
2.e-6 1.e0 9.005e1 4.43674e32
2.e-6 1.e0 9.105e1 4.14059e32
2.e-6 1.e0 9.205e1 3.8722e32
2.e-6 1.e0 9.305e1 3.62369e32
2.e-6 1.e0 9.405e1 3.39092e32
