# Ea rad s(Ea,rad)
5.536364e+01 1.100000e+01 2.324119e-02
5.536364e+01 1.200000e+01 2.227377e-02
5.536364e+01 1.300000e+01 2.144989e-02
5.536364e+01 1.400000e+01 2.083244e-02
5.536364e+01 1.500000e+01 1.953765e-02
5.536364e+01 1.600000e+01 1.841034e-02
5.536364e+01 1.700000e+01 1.668630e-02
5.536364e+01 1.800000e+01 1.579130e-02
5.536364e+01 1.900000e+01 1.489437e-02
5.536364e+01 2.000000e+01 1.556614e-02
5.838384e+01 0.000000e+00 3.760150e-02
5.838384e+01 1.000000e+00 3.773896e-02
5.838384e+01 2.000000e+00 3.799363e-02
5.838384e+01 3.000000e+00 3.887254e-02
5.838384e+01 4.000000e+00 3.964583e-02
5.838384e+01 5.000000e+00 4.075262e-02
5.838384e+01 6.000000e+00 4.212905e-02
5.838384e+01 7.000000e+00 4.081458e-02
5.838384e+01 8.000000e+00 3.380464e-02
5.838384e+01 9.000000e+00 2.823914e-02
5.838384e+01 1.000000e+01 2.534736e-02
5.838384e+01 1.100000e+01 2.376216e-02
5.838384e+01 1.200000e+01 2.278912e-02
5.838384e+01 1.300000e+01 2.196960e-02
5.838384e+01 1.400000e+01 2.136630e-02
5.838384e+01 1.500000e+01 2.007169e-02
5.838384e+01 1.600000e+01 1.894765e-02
5.838384e+01 1.700000e+01 1.720272e-02
5.838384e+01 1.800000e+01 1.629008e-02
5.838384e+01 1.900000e+01 1.533312e-02
5.838384e+01 2.000000e+01 1.595980e-02
6.140404e+01 0.000000e+00 3.985106e-02
6.140404e+01 1.000000e+00 3.996268e-02
6.140404e+01 2.000000e+00 4.018215e-02
6.140404e+01 3.000000e+00 4.099678e-02
6.140404e+01 4.000000e+00 4.168873e-02
6.140404e+01 5.000000e+00 4.268487e-02
6.140404e+01 6.000000e+00 4.383159e-02
6.140404e+01 7.000000e+00 4.211152e-02
6.140404e+01 8.000000e+00 3.463201e-02
6.140404e+01 9.000000e+00 2.884591e-02
6.140404e+01 1.000000e+01 2.586975e-02
6.140404e+01 1.100000e+01 2.425320e-02
6.140404e+01 1.200000e+01 2.327377e-02
6.140404e+01 1.300000e+01 2.245752e-02
6.140404e+01 1.400000e+01 2.186668e-02
6.140404e+01 1.500000e+01 2.057125e-02
6.140404e+01 1.600000e+01 1.944872e-02
6.140404e+01 1.700000e+01 1.768202e-02
6.140404e+01 1.800000e+01 1.674836e-02
6.140404e+01 1.900000e+01 1.572869e-02
6.140404e+01 2.000000e+01 1.630658e-02
6.442424e+01 0.000000e+00 4.217636e-02
6.442424e+01 1.000000e+00 4.225583e-02
6.442424e+01 2.000000e+00 4.243236e-02
6.442424e+01 3.000000e+00 4.317201e-02
6.442424e+01 4.000000e+00 4.377257e-02
6.442424e+01 5.000000e+00 4.464605e-02
6.442424e+01 6.000000e+00 4.553929e-02
6.442424e+01 7.000000e+00 4.338732e-02
6.442424e+01 8.000000e+00 3.542706e-02
6.442424e+01 9.000000e+00 2.942132e-02
6.442424e+01 1.000000e+01 2.636192e-02
6.442424e+01 1.100000e+01 2.471412e-02
6.442424e+01 1.200000e+01 2.372759e-02
6.442424e+01 1.300000e+01 2.291356e-02
6.442424e+01 1.400000e+01 2.233350e-02
6.442424e+01 1.500000e+01 2.103628e-02
6.442424e+01 1.600000e+01 1.991356e-02
6.442424e+01 1.700000e+01 1.812432e-02
6.442424e+01 1.800000e+01 1.716663e-02
6.442424e+01 1.900000e+01 1.608244e-02
6.442424e+01 2.000000e+01 1.660900e-02
6.744444e+01 0.000000e+00 4.457530e-02
6.744444e+01 1.000000e+00 4.461559e-02
6.744444e+01 2.000000e+00 4.474101e-02
6.744444e+01 3.000000e+00 4.539485e-02
6.744444e+01 4.000000e+00 4.589397e-02
6.744444e+01 5.000000e+00 4.663283e-02
6.744444e+01 6.000000e+00 4.724868e-02
6.744444e+01 7.000000e+00 4.463942e-02
6.744444e+01 8.000000e+00 3.618880e-02
6.744444e+01 9.000000e+00 2.996502e-02
6.744444e+01 1.000000e+01 2.682377e-02
6.744444e+01 1.100000e+01 2.514489e-02
6.744444e+01 1.200000e+01 2.415061e-02
6.744444e+01 1.300000e+01 2.333778e-02
6.744444e+01 1.400000e+01 2.276689e-02
6.744444e+01 1.500000e+01 2.146694e-02
6.744444e+01 1.600000e+01 2.034241e-02
6.744444e+01 1.700000e+01 1.852999e-02
6.744444e+01 1.800000e+01 1.754566e-02
6.744444e+01 1.900000e+01 1.639591e-02
6.744444e+01 2.000000e+01 1.686962e-02
7.046465e+01 0.000000e+00 4.704533e-02
7.046465e+01 1.000000e+00 4.703877e-02
7.046465e+01 2.000000e+00 4.710454e-02
